DATE,DIRECTION,ROAD,LOCATION,EVENT,DAY,MONTH,DAYNUM,TIME,YEAR
Sun Oct 07 15:06:42 CDT 2018,NB,T.H.61,@ 80th St,STALL,Sun,Oct,07,15:06:42,2018
Sun Oct 07 15:06:42 CDT 2018,NB,T.H.61,@ 80th St,STALL,Sun,Oct,07,15:06:42,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
Sun Oct 07 15:17:52 CDT 2018,NB,I-35,@ T.H.14,HAZARD,Sun,Oct,07,15:17:52,2018
