,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
156,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
240,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
241,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
38,S573,,Sun Oct 07 21:21:29 CDT 2018,,117,480,,
95,S573,,Sun Oct 07 21:21:29 CDT 2018,,117,480,,
167,S573,,Sun Oct 07 21:21:29 CDT 2018,,117,480,,
254,S573,,Sun Oct 07 21:21:29 CDT 2018,,117,480,,
96,S573,,Sun Oct 07 21:21:59 CDT 2018,,103,420,,
168,S573,,Sun Oct 07 21:21:59 CDT 2018,,103,420,,
255,S573,,Sun Oct 07 21:21:59 CDT 2018,,103,420,,
169,S573,,Sun Oct 07 21:22:29 CDT 2018,,73,180,,
256,S573,,Sun Oct 07 21:22:29 CDT 2018,,73,180,,
257,S573,,Sun Oct 07 21:22:59 CDT 2018,,82,360,,
22,S573,NB,Thu Oct 11 17:46:29 CDT 2018,26.0,76,1080,45.00515,-93.20947
36,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
37,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
93,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
94,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
165,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
166,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
252,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
253,S573,,Wed Oct 03 01:16:59 CDT 2018,,106,,,
23,S574,NB,Thu Oct 11 17:46:29 CDT 2018,23.0,78,1020,45.00992,-93.20027
11,S575,NB,Thu Oct 11 17:46:29 CDT 2018,22.0,70,1080,45.01167,-93.18792
12,S576,SB,Thu Oct 11 17:46:29 CDT 2018,22.0,61,960,45.01181,-93.18838
41,S577,,Sun Oct 07 21:21:29 CDT 2018,,64,400,,
99,S577,,Sun Oct 07 21:21:29 CDT 2018,,64,400,,
172,S577,,Sun Oct 07 21:21:29 CDT 2018,,64,400,,
260,S577,,Sun Oct 07 21:21:29 CDT 2018,,64,400,,
100,S577,,Sun Oct 07 21:21:59 CDT 2018,,64,320,,
173,S577,,Sun Oct 07 21:21:59 CDT 2018,,64,320,,
261,S577,,Sun Oct 07 21:21:59 CDT 2018,,64,320,,
174,S577,,Sun Oct 07 21:22:29 CDT 2018,,67,560,,
